Symbol,Industry,ISIN Code
MOTILALOFS,Financial Services,INE338I01027
MPHASIS,Information Technology,INE356A01018
MCX,Financial Services,INE745G01035
MUTHOOTFIN,Financial Services,INE414G01012
NATCOPHARM,Healthcare,INE987B01026
NBCC,Construction,INE095N01031
NCC,Construction,INE868B01028
NHPC,Power,INE848E01016
NLCINDIA,Power,INE589A01014
NMDC,Metals & Mining,INE584A01023
NSLNISP,Metals & Mining,INE0NNS01018
NTPCGREEN,Power,INE0ONG01011
NTPC,Power,INE733E01010
NH,Healthcare,INE410P01011
NATIONALUM,Metals & Mining,INE139A01034
NAVA,Power,INE725A01030
NAVINFLUOR,Chemicals,INE048G01026
NESTLEIND,Fast Moving Consumer Goods,INE239A01024
NETWEB,Information Technology,INE0NT901020
NEULANDLAB,Healthcare,INE794A01010
NEWGEN,Information Technology,INE619B01017
NAM-INDIA,Financial Services,INE298J01013
NIVABUPA,Financial Services,INE995S01015
NUVAMA,Financial Services,INE531F01015
NUVOCO,Construction Materials,INE118D01016
OBEROIRLTY,Realty,INE093I01010
ONGC,Oil Gas & Consumable Fuels,INE213A01029
OIL,Oil Gas & Consumable Fuels,INE274J01014
OLECTRA,Automobile and Auto Components,INE260D01016
PAYTM,Financial Services,INE982J01020
ONESOURCE,Healthcare,INE013P01021
OFSS,Information Technology,INE881D01027
POLICYBZR,Financial Services,INE417T01026
PCBL,Chemicals,INE602A01031
PGEL,Consumer Durables,INE457L01029
PIIND,Chemicals,INE603J01030
PNBHOUSING,Financial Services,INE572E01012
PTCIL,Capital Goods,INE596F01018
PVRINOX,Media Entertainment & Publication,INE191H01014
PAGEIND,Textiles,INE761H01022
PATANJALI,Fast Moving Consumer Goods,INE619A01035
PERSISTENT,Information Technology,INE262H01021
PETRONET,Oil Gas & Consumable Fuels,INE347G01014
PFIZER,Healthcare,INE182A01018
PHOENIXLTD,Realty,INE211B01039
PIDILITIND,Chemicals,INE318A01026
PPLPHARMA,Healthcare,INE0DK501011
POLYMED,Healthcare,INE205C01021
POLYCAB,Capital Goods,INE455K01017
POONAWALLA,Financial Services,INE511C01022
PFC,Financial Services,INE134E01011
POWERGRID,Power,INE752E01010
PRAJIND,Capital Goods,INE074A01025
PREMIERENE,Capital Goods,INE0BS701011
PRESTIGE,Realty,INE811K01011
PGHH,Fast Moving Consumer Goods,INE179A01014
PNB,Financial Services,INE160A01022
RRKABEL,Capital Goods,INE777K01022
RBLBANK,Financial Services,INE976G01028
RECLTD,Financial Services,INE020B01018
RHIM,Capital Goods,INE743M01012
RITES,Construction,INE320J01015
RADICO,Fast Moving Consumer Goods,INE944F01028
RVNL,Construction,INE415G01027
RAILTEL,Telecommunication,INE0DD101019
RAINBOW,Healthcare,INE961O01016
RKFORGE,Automobile and Auto Components,INE399G01023
RCF,Chemicals,INE027A01015
REDINGTON,Services,INE891D01026
RELIANCE,Oil Gas & Consumable Fuels,INE002A01018
RPOWER,Power,INE614G01033
SBFC,Financial Services,INE423Y01016
SBICARD,Financial Services,INE018E01016
SBILIFE,Financial Services,INE123W01016
SJVN,Power,INE002L01015
SKFINDIA,Automobile and Auto Components,INE640A01023
SRF,Chemicals,INE647A01010
SAGILITY,Information Technology,INE0W2G01015
SAILIFE,Healthcare,INE570L01029
SAMMAANCAP,Financial Services,INE148I01020
MOTHERSON,Automobile and Auto Components,INE775A01035
SAPPHIRE,Consumer Services,INE806T01020
SARDAEN,Metals & Mining,INE385C01021
SAREGAMA,Media Entertainment & Publication,INE979A01025
SCHAEFFLER,Automobile and Auto Components,INE513A01022
SCHNEIDER,Capital Goods,INE839M01018
SCI,Services,INE109A01011
SHREECEM,Construction Materials,INE070A01015
SHRIRAMFIN,Financial Services,INE721A01047
SHYAMMETL,Capital Goods,INE810G01011
ENRIN,Capital Goods,INE1NPP01017
SIEMENS,Capital Goods,INE003A01024
SIGNATURE,Realty,INE903U01023
SOBHA,Realty,INE671H01015
SOLARINDS,Chemicals,INE343H01029
SONACOMS,Automobile and Auto Components,INE073K01018
SONATSOFTW,Information Technology,INE269A01021
STARHEALTH,Financial Services,INE575P01011
SBIN,Financial Services,INE062A01020
SAIL,Metals & Mining,INE114A01011
SUMICHEM,Chemicals,INE258G01013
SUNPHARMA,Healthcare,INE044A01036
SUNTV,Media Entertainment & Publication,INE424H01027
SUNDARMFIN,Financial Services,INE660A01013
SUNDRMFAST,Automobile and Auto Components,INE387A01021
SUPREMEIND,Capital Goods,INE195A01028
SUZLON,Capital Goods,INE040H01021
SWANCORP,Chemicals,INE665A01038
SWIGGY,Consumer Services,INE00H001014
SYNGENE,Healthcare,INE398R01022
SYRMA,Capital Goods,INE0DYJ01015
TBOTEK,Consumer Services,INE673O01025
TVSMOTOR,Automobile and Auto Components,INE494B01023
TATACHEM,Chemicals,INE092A01019
TATACOMM,Telecommunication,INE151A01013
TCS,Information Technology,INE467B01029
TATACONSUM,Fast Moving Consumer Goods,INE192A01025
TATAELXSI,Information Technology,INE670A01012
TATAINVEST,Financial Services,INE672A01026
TMPV,Automobile and Auto Components,INE155A01022
TATAPOWER,Power,INE245A01021
TATASTEEL,Metals & Mining,INE081A01020
TATATECH,Information Technology,INE142M01025
TTML,Telecommunication,INE517B01013
TECHM,Information Technology,INE669C01036
TECHNOE,Construction,INE285K01026
TEJASNET,Telecommunication,INE010J01012
NIACL,Financial Services,INE470Y01017
RAMCOCEM,Construction Materials,INE331A01037
THERMAX,Capital Goods,INE152A01029
TIMKEN,Capital Goods,INE325A01013
TITAGARH,Capital Goods,INE615H01020
TITAN,Consumer Durables,INE280A01028
TORNTPHARM,Healthcare,INE685A01028
TORNTPOWER,Power,INE813H01021
TARIL,Capital Goods,INE763I01026
TRENT,Consumer Services,INE849A01020
TRIDENT,Textiles,INE064C01022
TRIVENI,Fast Moving Consumer Goods,INE256C01024
TRITURBINE,Capital Goods,INE152M01016
TIINDIA,Automobile and Auto Components,INE974X01010
UCOBANK,Financial Services,INE691A01018
UNOMINDA,Automobile and Auto Components,INE405E01023
UPL,Chemicals,INE628A01036
UTIAMC,Financial Services,INE094J01016
ULTRACEMCO,Construction Materials,INE481G01011
UNIONBANK,Financial Services,INE692A01016
UBL,Fast Moving Consumer Goods,INE686F01025
UNITDSPR,Fast Moving Consumer Goods,INE854D01024
USHAMART,Capital Goods,INE228A01035
VGUARD,Consumer Durables,INE951I01027
DBREALTY,Consumer Services,INE879I01012
VTL,Textiles,INE825A01020
VBL,Fast Moving Consumer Goods,INE200M01039
MANYAVAR,Consumer Services,INE825V01034
VEDL,Metals & Mining,INE205A01025
VENTIVE,Consumer Services,INE781S01027
VIJAYA,Healthcare,INE043W01024
VMM,Consumer Services,INE01EA01019
IDEA,Telecommunication,INE669E01016
VOLTAS,Consumer Durables,INE226A01021
WAAREEENER,Capital Goods,INE377N01017
WELCORP,Capital Goods,INE191B01025
WELSPUNLIV,Textiles,INE192B01031
WHIRLPOOL,Consumer Durables,INE716A01013
WIPRO,Information Technology,INE075A01022
WOCKPHARMA,Healthcare,INE049B01025
YESBANK,Financial Services,INE528G01035
ZFCVINDIA,Automobile and Auto Components,INE342J01019
ZEEL,Media Entertainment & Publication,INE256A01028
ZENTEC,Capital Goods,INE251B01027
ZENSARTECH,Information Technology,INE520A01027
ZYDUSLIFE,Healthcare,INE010B01027
ECLERX,Services,INE738I01010
